benchmark,model,sample_id,n_units,keep_ratio,spearman_pre_post,kendall_pre_post,jaccard_topk,mean_edge_pre_keep_post_drop,mean_edge_post_keep_pre_drop,frac_high_edge_pre_keep_post_drop,frac_high_edge_post_keep_pre_drop,rank_shift_edge_rho,unit_grid_h,unit_grid_w
textvqa,Qwen/Qwen3-VL-8B-Instruct,35183,1024,0.25,0.46114092339603746,0.31730358015640275,0.30612244897959184,0.14681287608040935,0.16393900262739727,0.49264705882352944,0.75,-0.16099313162293596,64,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35080,672,0.25,0.4139598131145643,0.2868231495280676,0.3125,0.24165899328231302,0.1424618227439086,0.6477272727272727,0.38636363636363635,0.1423287640315415,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34728,704,0.25,0.49503805189695455,0.34339034010086644,0.31343283582089554,0.29187808430794143,0.24101188197812956,0.5869565217391305,0.5,0.09755780057893944,44,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34837,672,0.25,0.40971787024755146,0.27573451139024907,0.23529411764705882,0.2294428379346545,0.14073605253361166,0.6923076923076923,0.6057692307692307,0.06597928099496143,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34804,672,0.25,0.46705687864372974,0.32204953516428925,0.344,0.10258182936643319,0.04877120507426742,0.7073170731707317,0.524390243902439,0.16122160537422595,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34758,1024,0.25,0.17577312513411056,0.11669492302052786,0.1583710407239819,0.49456809553247627,0.3903547013879463,0.8494623655913979,0.5967741935483871,0.15627452375638026,64,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34719,768,0.25,0.3938038667956319,0.26842269665362883,0.24675324675324675,0.271587280962006,0.25415928334254645,0.603448275862069,0.5172413793103449,0.011921159648819667,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35109,672,0.25,0.29254814254996947,0.20131644311972183,0.23529411764705882,0.3612633236827186,0.4023000596162791,0.5576923076923077,0.625,-0.12886864898301614,64,42
textvqa,Qwen/Qwen3-VL-8B-Instruct,34920,768,0.25,0.4141235220142314,0.2823364841373316,0.29292929292929293,0.31813278253678057,0.18636231281062854,0.7428571428571429,0.5523809523809524,0.17970954507820638,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34632,672,0.25,0.23876112317273746,0.16054573841459088,0.16666666666666666,0.2856756049518784,0.10251618716865778,0.7916666666666666,0.43333333333333335,0.24287603028764687,64,42
textvqa,Qwen/Qwen3-VL-8B-Instruct,34717,640,0.25,0.11611277127141424,0.07864827856025039,0.10726643598615918,0.4601195013338281,0.3907279436902482,0.627906976744186,0.49612403100775193,0.166884664528089,64,40
textvqa,Qwen/Qwen3-VL-8B-Instruct,34939,1024,0.25,0.39024997203305484,0.26818169234732053,0.3368146214099217,0.15884148729341765,0.052319251916133645,0.7480314960629921,0.6062992125984252,0.05046085288104241,64,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34796,768,0.25,0.2567125540204434,0.17380350934376357,0.2,0.2550465926178731,0.2113436607469339,0.8203125,0.6484375,0.12394125538911992,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34799,576,0.25,0.39697115263858535,0.27109903381642514,0.2413793103448276,0.2871020052751357,0.3020767175634815,0.5454545454545454,0.5795454545454546,-0.027163360253518377,36,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34985,768,0.25,0.13913829869299774,0.0934172642329422,0.15315315315315314,0.20692294965504754,0.07807705059304093,0.9929078014184397,0.3333333333333333,0.554687110758996,64,48
textvqa,Qwen/Qwen3-VL-8B-Instruct,35004,672,0.25,0.3839340877377075,0.261070896316798,0.1872791519434629,0.24283869611504286,0.1563875212698527,0.8434782608695652,0.5304347826086957,0.17885463299122903,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34885,768,0.25,0.3437875377443742,0.22801906779661016,0.2757475083056478,0.3043667915695851,0.1160573981394735,0.926605504587156,0.3577981651376147,0.19422664942473047,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34702,768,0.25,0.2391710627595058,0.16100336810082572,0.16363636363636364,0.2243997604329733,0.15843814857088137,0.7028985507246377,0.5289855072463768,0.16359045390389493,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34604,1024,0.25,0.2619636582683642,0.1817761791300098,0.20470588235294118,0.18169255370615855,0.12742494296326617,0.7751479289940828,0.5207100591715976,0.17447753425800766,64,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35049,1024,0.25,0.35039791726271363,0.23923967497556206,0.26732673267326734,0.1889904027627098,0.10980498687619016,0.5135135135135135,0.5608108108108109,0.013283328872155269,64,64
docvqa,Qwen/Qwen3-VL-8B-Instruct,49392,1326,0.25,0.05781708491131184,0.04005580127824507,0.11784511784511785,0.5124539381447639,0.13230234736804175,1.0,0.3969465648854962,0.5342617236206594,102,52
